Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend,SMA_21,SMA_34,SMA_14,SD_14,upper_band,lower_band
2017-07-04,MUTHOOTFIN,EQ,456.55,460.0,462.0,448.0,449.75,450.6,454.74,295595,134418681.95,8448,81269,27.49,2017,7,-1.3032526557879676,Negative,453.4628571428572,431.14294117647063,458.74285714285713,10.932612769965703,480.60808268278856,436.8776316029257
2017-07-05,MUTHOOTFIN,EQ,450.6,454.0,458.0,447.65,452.1,451.15,452.42,301216,136275692.25,4544,115980,38.5,2017,7,0.1220594762538773,Slight or No change,454.35571428571427,432.8347058823529,457.46714285714285,10.51692732881404,478.5009975147709,436.4332881995148
2017-07-06,MUTHOOTFIN,EQ,451.15,454.8,458.0,445.2,445.2,446.6,450.73,546249,246209086.9,12422,302749,55.42,2017,7,-1.0085337470907565,Negative,455.23619047619053,434.7252941176471,455.7278571428571,9.326140415785101,474.38013797442727,437.0755763112869
2017-07-07,MUTHOOTFIN,EQ,446.6,448.8,452.85,443.85,448.0,448.9,449.56,427452,192165428.2,10332,153091,35.81,2017,7,0.515002239140161,Slight positive,455.9019047619048,436.7085294117647,453.875,7.492259338810641,468.8595186776213,438.8904813223787
2017-07-10,MUTHOOTFIN,EQ,448.9,448.9,454.0,445.0,451.5,449.5,450.5,65960,29715034.2,1324,30144,45.7,2017,7,0.1336600579193714,Slight or No change,456.35333333333335,438.60441176470584,452.9764285714286,7.04434263695403,467.06511384533667,438.8877432975205
2017-07-11,MUTHOOTFIN,EQ,449.5,450.5,452.65,440.5,444.0,445.05,446.68,323573,144533467.8,4107,206469,63.81,2017,7,-0.9899888765294796,Slight negative,456.29952380952386,440.46441176470586,451.63428571428574,6.222989282040492,464.0802642783667,439.18830715020476
2017-07-12,MUTHOOTFIN,EQ,445.05,447.5,469.55,444.1,467.95,467.75,458.67,1067168,489475801.0,16856,349590,32.76,2017,7,5.100550499943823,Among top gainers,456.71571428571434,442.52882352941174,451.50714285714287,6.044647255180051,463.596437367503,439.41784834678276
2017-07-13,MUTHOOTFIN,EQ,467.75,472.0,474.9,463.35,470.0,469.65,470.07,960481,451488902.15,15825,241647,25.16,2017,7,0.4061998931052857,Slight or No change,457.19190476190477,444.875294117647,452.43071428571426,7.725580350901613,467.8818749875175,436.979553583911
2017-07-14,MUTHOOTFIN,EQ,469.65,470.95,479.0,465.95,472.4,472.85,474.13,991986,470327639.95,18028,348535,35.14,2017,7,0.6813584584264953,Slight positive,457.37523809523805,447.1120588235294,454.4971428571429,9.342597586877275,473.1823380308974,435.8119476833883
2017-07-17,MUTHOOTFIN,EQ,472.85,475.95,475.95,464.55,469.0,468.4,469.71,327343,153756010.95,10444,125438,38.32,2017,7,-0.94110182933278,Slight negative,457.1195238095238,449.4126470588235,456.7192857142858,8.962634798287171,474.64455531086014,438.7940161177114
2017-07-18,MUTHOOTFIN,EQ,468.4,466.0,476.25,460.1,468.0,468.9,472.11,488523,230638595.75,19214,270143,55.3,2017,7,0.1067463706234006,Slight or No change,456.95809523809527,451.7208823529412,458.63500000000005,9.195068703470048,477.02513740694013,440.24486259305996
2017-07-19,MUTHOOTFIN,EQ,468.9,468.5,475.35,465.1,468.25,470.55,470.56,895246,421264503.95,20053,304044,33.96,2017,7,0.351887396033268,Slight or No change,457.31428571428575,453.48264705882355,459.4592857142857,9.733707858843651,478.926701431973,439.99186999659844
2017-07-20,MUTHOOTFIN,EQ,470.55,471.55,472.75,458.2,460.1,460.15,464.79,540333,251143983.15,15434,152729,28.27,2017,7,-2.210179577090643,Negative,457.28190476190474,455.0888235294118,460.1807142857143,9.727320339590296,479.63535496489493,440.7260736065337
2017-07-21,MUTHOOTFIN,EQ,460.15,460.9,464.85,447.25,451.7,452.75,456.69,452339,206577799.65,14094,133996,29.62,2017,7,-1.6081712485059183,Negative,457.10285714285715,456.15705882352944,460.09714285714284,9.753782247511179,479.6047073521652,440.5895783621205
2017-07-24,MUTHOOTFIN,EQ,452.75,453.05,468.9,451.45,461.9,461.35,460.99,792689,365419706.2,15709,209133,26.38,2017,7,1.8995030369961308,Positive,457.2861904761905,456.9605882352941,460.5435714285714,9.631996044548295,479.807563517668,441.2795793394748
2017-07-25,MUTHOOTFIN,EQ,461.35,462.0,469.8,455.85,466.1,465.95,463.49,461333,213823139.3,9797,112294,24.34,2017,7,0.9970738051370942,Slight positive,458.15714285714284,457.87970588235294,461.3342857142857,9.364480119690803,480.0632459536673,442.60532547490413
2017-07-26,MUTHOOTFIN,EQ,465.95,468.9,483.4,467.0,476.15,477.65,477.3,1687894,805632649.35,29027,436136,25.84,2017,7,2.510999034231132,Positive,460.0,459.1067647058823,463.23214285714283,9.73511659174876,482.70237604064033,443.76190967364533
2017-07-27,MUTHOOTFIN,EQ,477.65,481.95,481.95,462.65,466.0,465.35,471.58,947528,446838131.85,13873,372516,39.31,2017,7,-2.5751072961373245,Negative,461.2519047619048,460.00558823529406,464.805,9.11536045112005,483.0357209022401,446.5742790977599
2017-07-28,MUTHOOTFIN,EQ,465.35,465.0,474.75,462.3,467.15,467.5,469.82,568445,267066305.0,9890,51096,8.99,2017,7,0.4620178360373872,Slight or No change,461.7661904761905,460.65294117647056,466.185,8.19954478098524,482.5840895619705,449.78591043802953
2017-07-31,MUTHOOTFIN,EQ,467.5,468.0,480.0,467.8,474.6,474.15,473.95,889969,421799810.05,10929,304049,34.16,2017,7,1.4224598930481225,Positive,462.68333333333334,461.35941176470584,468.1328571428571,6.206417805628306,480.54569275411376,455.7200215316005
